2016 Immigration policy,2020 For whom R voted (pre/early),2020 Media: TV mention,2016 Feeling Therm: Rep Party,2016 Death penalty (summary),2016 Voted in Nov election (post),2020 Media: Radio mention,2016 Media: TV news mention,2020 Party ID (basic),2020 Lib-Con 7pt scale,2020 Media: Internet mention,2020 Gun stance (difficulty buying),2016 Forced Lib or Con,Original (2016) Westat Case ID,2016 Race summary,2016 Media: Newspapers mention,2016 Attention to news,2016 For whom R voted (post),2016 ACA (2010 health care) favor/oppose,2020 For whom R voted (post),2020 Feeling Therm: Dem Party,2016 Post-election weight (full),2016 Attention to politics,2020 Attention to politics,2020 Where R is registered (pre),2016 Case ID,2016 Feeling Therm: Dem Party,2020 Voted in Nov election (post),2020 Media: Newspapers mention,2016 Party ID summary,2020 Interest in campaigns,2020 Forced Lib or Con,2016 Education level,2020 Already voted (pre),2020 Hispanic indicator,2016 Lib-Con 7pt scale,2016 Party ID (basic),2020 Age (summary),2020 Case ID,2016 Pre-election weight (full),2016 Gun stance (make it more difficult),2020 Race/Ethnicity (summary),2016 Media: Radio mention,2020 Death penalty (summary),2020 ACA approval (summary),2016 Registered to vote (pre),Panel post-election weight (2016-2020),2016 Strength of Party ID,2020 Media: No mention,2016 For whom R voted (pre),2020 Party ID summary,2020 Strength of Party ID,2020 Immigration policy,2016 Hispanic indicator,2016 Interest in campaigns,2020 Mode of interview (pre),Panel pre-election weight (2016-2020),2020 Education level,2020 Feeling Therm: Rep Party,2016 Age group,2016 Mode of interview,2016 Voted for President (pre)
3.0,-1.0,0.0,15.0,4.0,4.0,1.0,0.0,1.0,2.0,1.0,-7.0,-1.0,300039.0,5.0,1.0,1.0,1.0,1.0,-7.0,70.0,0.8146,1.0,1.0,1.0,17.0,70.0,-7.0,1.0,1.0,2.0,-1.0,14.0,2.0,2.0,2.0,1.0,49.0,221302.0,0.8084,1.0,1.0,0.0,4.0,-7.0,1.0,,1.0,0.0,-1.0,1.0,1.0,3.0,1.0,1.0,3.0,0.7229918546224712,7.0,15.0,7.0,1.0,-1.0
1.0,-1.0,1.0,70.0,1.0,4.0,0.0,1.0,2.0,6.0,1.0,1.0,-1.0,300040.0,1.0,1.0,2.0,2.0,7.0,2.0,60.0,0.2579,2.0,2.0,1.0,18.0,30.0,4.0,1.0,7.0,2.0,-1.0,13.0,2.0,2.0,6.0,2.0,74.0,218870.0,0.2423,1.0,1.0,0.0,1.0,7.0,1.0,0.3347839583348441,1.0,0.0,-1.0,7.0,1.0,2.0,2.0,2.0,3.0,0.3370449365429847,6.0,100.0,12.0,1.0,-1.0
3.0,-1.0,1.0,60.0,1.0,4.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,300042.0,1.0,0.0,2.0,-1.0,4.0,1.0,60.0,1.4366,2.0,2.0,1.0,20.0,40.0,4.0,0.0,6.0,1.0,2.0,10.0,2.0,2.0,99.0,2.0,71.0,226482.0,1.3938,1.0,1.0,1.0,1.0,2.0,1.0,1.5634625324708131,2.0,0.0,-1.0,4.0,-1.0,3.0,2.0,1.0,3.0,1.5659645624875922,3.0,40.0,11.0,1.0,-1.0
2.0,-1.0,1.0,70.0,2.0,-1.0,0.0,1.0,2.0,6.0,0.0,-6.0,-1.0,300045.0,1.0,1.0,3.0,-1.0,7.0,-6.0,0.0,0.8633,3.0,2.0,1.0,21.0,15.0,-6.0,0.0,6.0,1.0,-1.0,9.0,2.0,2.0,5.0,2.0,70.0,215574.0,0.8591,3.0,1.0,1.0,1.0,-6.0,2.0,,2.0,0.0,2.0,7.0,1.0,2.0,2.0,1.0,3.0,1.0551065505287256,2.0,85.0,11.0,1.0,1.0
3.0,-1.0,1.0,15.0,2.0,4.0,1.0,-9.0,2.0,4.0,1.0,3.0,1.0,300047.0,1.0,-9.0,4.0,1.0,2.0,1.0,70.0,2.7363,4.0,1.0,1.0,23.0,50.0,4.0,1.0,5.0,2.0,2.0,10.0,2.0,2.0,99.0,0.0,60.0,201384.0,2.7749,1.0,1.0,-9.0,1.0,2.0,1.0,2.7277392952453066,-1.0,0.0,-1.0,6.0,2.0,3.0,2.0,1.0,3.0,2.7478619419764936,3.0,10.0,9.0,1.0,-1.0
3.0,-1.0,1.0,60.0,3.0,4.0,1.0,1.0,2.0,5.0,1.0,3.0,-1.0,300049.0,1.0,1.0,3.0,2.0,4.0,2.0,15.0,0.5161,3.0,3.0,1.0,24.0,40.0,4.0,0.0,5.0,2.0,-1.0,14.0,2.0,2.0,6.0,0.0,68.0,229955.0,0.5215,3.0,1.0,1.0,3.0,6.0,1.0,0.5701426692667791,-1.0,0.0,-1.0,6.0,2.0,3.0,2.0,1.0,3.0,0.6050656771498739,7.0,60.0,11.0,1.0,-1.0
1.0,-1.0,1.0,40.0,-2.0,4.0,1.0,1.0,5.0,7.0,0.0,3.0,-1.0,300050.0,6.0,0.0,2.0,2.0,6.0,2.0,30.0,1.1951,2.0,1.0,2.0,25.0,15.0,4.0,0.0,5.0,1.0,-1.0,8.0,2.0,2.0,7.0,3.0,65.0,208279.0,1.0294,3.0,1.0,1.0,3.0,5.0,2.0,1.44639652759795,-1.0,0.0,-1.0,5.0,-1.0,2.0,2.0,1.0,3.0,1.6275922279502906,2.0,60.0,10.0,1.0,-1.0
1.0,-1.0,1.0,60.0,1.0,-1.0,0.0,1.0,3.0,99.0,0.0,1.0,-1.0,300053.0,1.0,1.0,3.0,-1.0,7.0,1.0,85.0,0.2219,4.0,3.0,1.0,27.0,50.0,4.0,0.0,4.0,2.0,1.0,13.0,2.0,2.0,2.0,3.0,72.0,203526.0,0.2153,1.0,1.0,1.0,1.0,1.0,3.0,0.2997058806042043,-1.0,0.0,-1.0,3.0,-1.0,3.0,2.0,1.0,3.0,0.3364252921565986,6.0,40.0,11.0,1.0,-1.0
1.0,-1.0,1.0,50.0,1.0,4.0,0.0,1.0,2.0,4.0,0.0,1.0,3.0,300056.0,1.0,1.0,4.0,-9.0,4.0,2.0,50.0,0.9554,4.0,3.0,2.0,28.0,50.0,4.0,0.0,4.0,2.0,2.0,9.0,2.0,2.0,99.0,3.0,29.0,215994.0,0.9996,1.0,1.0,1.0,1.0,7.0,1.0,1.2651470948279897,-1.0,0.0,-1.0,6.0,2.0,2.0,2.0,2.0,3.0,1.3242365829195646,4.0,85.0,3.0,1.0,-1.0
4.0,-1.0,1.0,15.0,4.0,4.0,0.0,1.0,1.0,2.0,0.0,1.0,-1.0,300058.0,1.0,1.0,1.0,1.0,1.0,1.0,85.0,0.9509,1.0,1.0,1.0,29.0,85.0,4.0,1.0,3.0,1.0,-1.0,14.0,2.0,2.0,2.0,3.0,77.0,222053.0,0.976,1.0,1.0,1.0,4.0,1.0,1.0,0.8766286771505436,-1.0,0.0,-1.0,1.0,1.0,4.0,2.0,1.0,3.0,0.9410985028182348,7.0,0.0,12.0,1.0,-1.0
3.0,-1.0,1.0,50.0,1.0,-1.0,0.0,1.0,3.0,4.0,0.0,3.0,1.0,300059.0,1.0,0.0,3.0,-1.0,4.0,-1.0,40.0,1.9268,2.0,3.0,1.0,30.0,30.0,1.0,0.0,4.0,2.0,2.0,9.0,2.0,2.0,4.0,3.0,71.0,202707.0,1.8963,3.0,1.0,0.0,1.0,6.0,1.0,2.8575868061942358,-1.0,0.0,-9.0,4.0,-1.0,3.0,2.0,1.0,3.0,2.204109430819152,2.0,60.0,11.0,1.0,1.0
3.0,-1.0,1.0,85.0,1.0,4.0,0.0,1.0,2.0,7.0,1.0,-6.0,-1.0,300070.0,1.0,1.0,2.0,2.0,7.0,-6.0,0.0,0.9898,2.0,4.0,1.0,33.0,0.0,-6.0,0.0,7.0,1.0,-1.0,10.0,2.0,2.0,6.0,2.0,77.0,206334.0,0.9602,3.0,1.0,0.0,1.0,-6.0,1.0,,1.0,0.0,-1.0,7.0,1.0,2.0,2.0,2.0,3.0,0.9978200972582852,3.0,100.0,12.0,1.0,-1.0
1.0,-1.0,1.0,60.0,1.0,4.0,0.0,1.0,2.0,6.0,0.0,3.0,-1.0,300072.0,1.0,0.0,1.0,2.0,7.0,2.0,0.0,0.2235,1.0,1.0,1.0,34.0,0.0,4.0,0.0,5.0,1.0,-1.0,13.0,2.0,2.0,7.0,3.0,73.0,230887.0,0.2302,2.0,1.0,0.0,1.0,7.0,1.0,0.2203711494300749,-1.0,0.0,-1.0,7.0,1.0,1.0,2.0,1.0,3.0,0.224029473692692,6.0,60.0,11.0,1.0,-1.0
